Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.571698	39730	91	school	28.56	5	2023-05-13	CT	Standard	trouble
I	2025-03-29 18:06:59.571702	19667	80	language	36.47	2	2023-05-15	TX	3-Day	management
I	2025-03-29 18:06:59.571705	23137	87	language	86.55	5	2024-08-06	VI	Overnight	management
I	2025-03-29 18:06:59.571709	84184	20	school	77.37	5	2024-04-28	CT	Standard	others
I	2025-03-29 18:06:59.571712	93894	20	market	23.03	5	2022-10-07	FL	2-Day	trouble
I	2025-03-29 18:06:59.571716	83499	53	language	77.71	3	2024-10-02	NY	Overnight	play
I	2025-03-29 18:06:59.571720	89905	72	marketing	89.23	2	2024-02-29	PW	Standard	others
I	2025-03-29 18:06:59.571724	71796	67	bit	54.18	2	2023-09-12	SC	2-Day	book
I	2025-03-29 18:06:59.571727	83146	44	bit	94.48	1	2022-06-02	VI	3-Day	others
I	2025-03-29 18:06:59.571731	71457	33	language	43.43	4	2021-10-01	CA	3-Day	play
I	2025-03-29 18:06:59.571735	18149	21	degree	40.48	3	2021-12-07	VI	Standard	book
I	2025-03-29 18:06:59.571739	85229	16	market	64.58	2	2024-09-15	FL	3-Day	management
I	2025-03-29 18:06:59.571742	65514	40	market	89.18	2	2022-08-26	NY	Overnight	book
I	2025-03-29 18:06:59.571746	12806	82	bit	30.87	4	2023-07-24	SC	3-Day	management
I	2025-03-29 18:06:59.571750	61664	43	marketing	62.0	4	2024-11-26	CT	2-Day	management
I	2025-03-29 18:06:59.571754	54392	73	language	84.96	3	2021-10-02	PW	3-Day	others
I	2025-03-29 18:06:59.571757	54457	22	bit	93.79	2	2024-06-27	SC	2-Day	management
I	2025-03-29 18:06:59.571761	80433	61	degree	85.63	2	2022-02-23	PW	Overnight	search
I	2025-03-29 18:06:59.571765	55506	59	bit	45.01	4	2022-12-11	PW	2-Day	others
I	2025-03-29 18:06:59.571768	49932	50	language	42.63	1	2023-01-19	TX	Standard	search
I	2025-03-29 18:06:59.571772	51007	48	market	98.39	3	2023-12-10	PW	2-Day	book
I	2025-03-29 18:06:59.571775	58671	77	language	51.71	2	2023-04-18	SC	Standard	management
I	2025-03-29 18:06:59.571779	17517	19	language	82.72	4	2024-07-25	SC	3-Day	trouble
I	2025-03-29 18:06:59.571783	70736	64	language	83.04	4	2021-09-06	SC	Standard	trouble
I	2025-03-29 18:06:59.571786	69471	82	degree	10.57	5	2022-02-23	PW	Overnight	search
I	2025-03-29 18:06:59.571790	75618	89	language	83.11	1	2022-06-11	VI	Standard	search
I	2025-03-29 18:06:59.571794	92162	76	market	19.65	4	2021-02-17	TX	Standard	others
I	2025-03-29 18:06:59.571797	61530	12	degree	13.02	2	2024-01-30	NY	Standard	book
I	2025-03-29 18:06:59.571801	25836	64	bit	12.11	5	2023-05-02	VI	Standard	management
I	2025-03-29 18:06:59.571804	30772	76	market	46.05	2	2021-04-15	CA	Standard	search
I	2025-03-29 18:06:59.571808	51720	14	school	63.6	5	2023-03-12	VI	3-Day	management
I	2025-03-29 18:06:59.571812	21493	83	market	78.72	3	2024-02-17	FL	Standard	others
I	2025-03-29 18:06:59.571816	36961	92	bit	77.86	2	2021-05-18	FL	Overnight	play
I	2025-03-29 18:06:59.571819	93979	61	school	26.63	5	2021-05-25	TX	Standard	trouble
I	2025-03-29 18:06:59.571823	31484	44	bit	64.35	2	2024-04-03	SC	3-Day	trouble
I	2025-03-29 18:06:59.571826	15257	99	marketing	68.64	3	2022-12-13	CT	Standard	play
I	2025-03-29 18:06:59.571830	88921	28	school	42.28	2	2024-03-10	NY	2-Day	trouble
I	2025-03-29 18:06:59.571834	71630	43	school	22.83	3	2023-05-30	NY	Standard	book
I	2025-03-29 18:06:59.571837	18247	33	language	88.09	4	2022-08-26	CA	Overnight	management
I	2025-03-29 18:06:59.571841	36830	47	bit	38.49	4	2021-06-28	CT	3-Day	management
I	2025-03-29 18:06:59.571844	21061	14	language	71.66	1	2023-01-14	CA	2-Day	management
I	2025-03-29 18:06:59.571848	71323	61	market	55.2	2	2022-08-12	CT	Overnight	search
I	2025-03-29 18:06:59.571852	76464	42	market	99.03	2	2024-12-07	NY	3-Day	book
I	2025-03-29 18:06:59.571856	10474	50	market	75.28	4	2024-01-01	SC	Standard	others
I	2025-03-29 18:06:59.571859	91421	14	bit	51.42	4	2021-12-15	TX	Overnight	trouble
I	2025-03-29 18:06:59.571863	96905	18	bit	27.28	1	2023-06-06	NY	2-Day	search
I	2025-03-29 18:06:59.571866	82299	46	market	48.73	3	2022-06-18	CT	Overnight	others
I	2025-03-29 18:06:59.571870	12987	76	language	40.43	4	2024-01-28	VI	Standard	play
I	2025-03-29 18:06:59.571874	70341	54	degree	51.69	1	2022-05-17	FL	Overnight	trouble
I	2025-03-29 18:06:59.571877	55603	56	market	74.51	4	2022-10-14	FL	Overnight	search
I	2025-03-29 18:06:59.571881	52671	46	school	61.53	3	2023-09-28	TX	Overnight	others
I	2025-03-29 18:06:59.571884	80345	14	school	91.85	2	2023-08-26	VI	3-Day	search
I	2025-03-29 18:06:59.571888	95273	93	bit	83.21	2	2024-05-20	CA	3-Day	trouble
I	2025-03-29 18:06:59.571892	72511	31	degree	62.04	2	2022-04-14	CA	Overnight	trouble
I	2025-03-29 18:06:59.571895	46787	70	marketing	23.84	2	2022-03-31	VI	Overnight	search
I	2025-03-29 18:06:59.571899	28703	65	degree	86.48	5	2024-09-11	FL	3-Day	book
I	2025-03-29 18:06:59.571903	94066	58	degree	34.55	1	2021-06-26	TX	Standard	others
I	2025-03-29 18:06:59.571906	33427	95	bit	69.28	1	2023-07-20	PW	Overnight	others
I	2025-03-29 18:06:59.571910	40785	70	marketing	57.17	3	2024-06-03	FL	Standard	others
I	2025-03-29 18:06:59.571914	89496	10	market	72.0	1	2021-02-06	SC	Standard	book
I	2025-03-29 18:06:59.571918	52917	68	marketing	28.77	3	2021-11-15	CA	2-Day	play
I	2025-03-29 18:06:59.571921	74678	74	degree	24.61	2	2021-10-14	SC	3-Day	others
I	2025-03-29 18:06:59.571925	26097	14	marketing	91.81	5	2024-07-15	CA	Standard	others
I	2025-03-29 18:06:59.571929	52483	38	school	65.58	3	2021-04-16	CT	Standard	search
I	2025-03-29 18:06:59.571932	55490	94	market	66.8	5	2022-01-28	VI	Standard	search
I	2025-03-29 18:06:59.571936	50296	57	market	10.96	3	2024-01-08	NY	Overnight	management
